zip_code,building_type, consumption_therms, consumption_gj,utility_data_source
10001,Residential,58338,6155,ConEd
10001,Residential,1476126,155740,ConEd
10001,Large Residential,3616905,381604,ConEd
10001,Commercial,4628579,488341,ConEd
10001,Commercial,7191956,758792,ConEd
10002,Large Residential,115301,12165,ConEd
10002,Residential,550055,58034,ConEd
10002,Commercial,4230121,446301,ConEd
10002,Residential,4509087,475734,ConEd
10002,Commercial,12107072,1277364,ConEd
10003,Residential,260502,27484,ConEd
10003,Large Residential,495206,52247,ConEd
10003,Residential,3229606,340742,ConEd
10003,Commercial,5073198,535251,ConEd
10003,Commercial,8855716,934328,ConEd
10004,Large Residential,5877,620,ConEd
10004,Residential,54549,5755,ConEd
10004,Commercial,1326154,139917,ConEd
10004,Commercial,1726800,182187,ConEd
10005,Residential,265,28,ConEd
10005,Residential,27868,2940,ConEd
10005,Commercial,382037,40307,ConEd
10005,Commercial,1419854,149803,ConEd
10006,Residential,2076,219,ConEd
10006,Residential,15601,1646,ConEd
10006,Commercial,235511,24848,ConEd
10006,Commercial,1361410,143636,ConEd
10007,Large Residential,12021,1268,ConEd
10007,Residential,12845,1355,ConEd
10007,Residential,605082,63840,ConEd
10007,Commercial,981522,103556,ConEd
10007,Commercial,1220273,128746,ConEd
10009,Large Residential,44314,4675,ConEd
10009,Residential,186224,19648,ConEd
10009,Commercial,2008255,211882,ConEd
10009,Residential,2516364,265491,ConEd
10009,Commercial,8554651,902564,ConEd
10010,Residential,61263,6464,ConEd
10010,Large Residential,212584,22429,ConEd
10010,Residential,1026844,108338,ConEd
10010,Commercial,2096300,221171,ConEd
10010,Commercial,3814933,402497,ConEd
10011,Commercial,1970,208,ConEd
10011,Residential,192654,20326,ConEd
10011,Large Residential,400282,42232,ConEd
10011,Residential,4029369,425121,ConEd
10011,Commercial,4672054,492928,ConEd
10011,Commercial,9456458,997709,ConEd
10012,Commercial,6584,695,ConEd
10012,Residential,178497,18832,ConEd
10012,Residential,2706972,285601,ConEd
10012,Commercial,2987748,315224,ConEd
10012,Commercial,3676344,387875,ConEd
10012,Large Residential,7190053,758591,ConEd
10013,Residential,228453,24103,ConEd
10013,Large Residential,1137066,119967,ConEd
10013,Residential,4372985,461374,ConEd
10013,Commercial,6067132,640116,ConEd
10013,Commercial,7261765,766157,ConEd
10014,Commercial,17212,1816,ConEd
10014,Large Residential,182728,19279,ConEd
10014,Residential,213234,22497,ConEd
10014,Commercial,3569148,376565,ConEd
10014,Residential,3950218,416770,ConEd
10014,Commercial,6034243,636646,ConEd
10016,Large Residential,87331,9214,ConEd
10016,Residential,111236,11736,ConEd
10016,Residential,1501042,158368,ConEd
10016,Commercial,3446607,363636,ConEd
10016,Commercial,7176247,757134,ConEd
10017,Residential,23970,2529,ConEd
10017,Residential,168035,17729,ConEd
10017,Large Residential,258733,27298,ConEd
10017,Commercial,2506308,264430,ConEd
10017,Commercial,3708661,391284,ConEd
10018,Residential,21822,2302,ConEd
10018,Residential,476865,50312,ConEd
10018,Large Residential,526802,55581,ConEd
10018,Commercial,2082396,219704,ConEd
10018,Commercial,3808435,401811,ConEd
10019,Commercial,2660,281,ConEd
10019,Residential,124706,13157,ConEd
10019,Large Residential,1239760,130802,ConEd
10019,Residential,1511255,159446,ConEd
10019,Commercial,5022063,529856,ConEd
10019,Commercial,12204102,1287601,ConEd
10020,Commercial,194595,20531,ConEd
10020,Commercial,263276,27777,ConEd
10020,Large Residential,271824,28679,ConEd
